win_team,lose_team,probability
Cleveland Cavaliers,Denver Nuggets,0.7061100997456827
Philadelphia 76ers,Los Angeles Clippers,0.7362058185163755
Portland Trail Blazers,New Orleans Pelicans,0.5108546054286861
Houston Rockets,Brooklyn Nets,0.8932901833098779
Indiana Pacers,Chicago Bulls,0.769439453464615
New York Knicks,Dallas Mavericks,0.5692657871225134
Golden State Warriors,Minnesota Timberwolves,0.7592940418542675
Orlando Magic,Los Angeles Clippers,0.5401785742682399
Toronto Raptors,Phoenix Suns,0.7555884324077442
Utah Jazz,Memphis Grizzlies,0.8213665522712206
Oklahoma City Thunder,Washington Wizards,0.523841754744923
Miami Heat,Atlanta Hawks,0.7219787846093222
Houston Rockets,Chicago Bulls,0.9027372436667768
Cleveland Cavaliers,Charlotte Hornets,0.5509500888499569
Utah Jazz,Denver Nuggets,0.5771452479394571
Boston Celtics,Indiana Pacers,0.6111591030045895
Philadelphia 76ers,Detroit Pistons,0.6771953763974649
Portland Trail Blazers,Los Angeles Lakers,0.6914197685451801
San Antonio Spurs,New Orleans Pelicans,0.6304273869665414
Philadelphia 76ers,Brooklyn Nets,0.8024545632132489
Toronto Raptors,Los Angeles Lakers,0.6714529167032336
Milwaukee Bucks,Sacramento Kings,0.6800600413339828
Phoenix Suns,Memphis Grizzlies,0.631528457242259
Portland Trail Blazers,Minnesota Timberwolves,0.5440175734147498
San Antonio Spurs,Orlando Magic,0.8242950655251827
Washington Wizards,New York Knicks,0.727317168009229
Boston Celtics,Denver Nuggets,0.6417936619386079
Miami Heat,Detroit Pistons,0.5489361921775782
Golden State Warriors,Memphis Grizzlies,0.9337965922937282
Houston Rockets,Indiana Pacers,0.6191930418176059
Los Angeles Clippers,Minnesota Timberwolves,0.517427333085861
New York Knicks,Chicago Bulls,0.5966746095684896
New Orleans Pelicans,Oklahoma City Thunder,0.5001116167850065
Cleveland Cavaliers,Orlando Magic,0.7421576743074181
Toronto Raptors,Utah Jazz,0.535388041819093
Charlotte Hornets,Atlanta Hawks,0.7986961042085636
Washington Wizards,Dallas Mavericks,0.672983458154669
Brooklyn Nets,Phoenix Suns,0.5654379397369702
Portland Trail Blazers,Milwaukee Bucks,0.5824075338929444
New York Knicks,Atlanta Hawks,0.5333215468980164
Cleveland Cavaliers,Oklahoma City Thunder,0.5343238764677678
Indiana Pacers,Philadelphia 76ers,0.5589661281532643
Minnesota Timberwolves,Los Angeles Lakers,0.6329874695420019
Denver Nuggets,Memphis Grizzlies,0.7267474201806071
San Antonio Spurs,Miami Heat,0.5398612320764606
New Orleans Pelicans,Chicago Bulls,0.8192752858444907
Detroit Pistons,Orlando Magic,0.5310515896618935
Toronto Raptors,Sacramento Kings,0.7229386169729582
Utah Jazz,Dallas Mavericks,0.6481194302733481
